¹,Ind. ¹,Generation,Sex,"Total Protein, g/L","Albumin, g/L","Globulin, g/L",A/G ratio,"Creatinine, µM/L","Glucose, mM/L","Total Bilirubin, µM/L","Triglycerides, mM/L","Cholesterol, mM/L","ALT, IU/L","AST, IU/L",De Ritis ratio (AST/ALT),"Ca, mM/L","P, mM/L",Ca/P ratio,"Mg, mM/L","Fe, µM/L","Chlorides, mM/L","Breast meat, moisture %","Breast meat, protein %","Breast meat, fat %","Breast meat, ash %","Drumstick, moisture %","Drumstick, protein %","Drumstick, fat %","Drumstick, ash %","Live weight at 1 day, g","9-week weight, g","Mean daily gain, g","Carcass weight, g","Slaughter yield, %","Breast weight, g","Thigh weight, g","Drumstick weight, g","Kidneys, g","Heart, g","Liver, g","Stomach, g","Intestines, g","Lungs, g"
1,2701,F2,m,37.9,15.8,22.1,0.71,15.76,16.74,0.4,0.41,4.12,4.7,174.1,37.04,2.62,2.01,1.3,0.86,20.49,118.3,73,24.24,1.67,1.09,75.78,19.4,3.84,0.98,39,1995,31,1390,69.7,461,104,86,11,10,36,37,75,14
2,2703,F2,m,37.9,14.8,23.1,0.64,14.55,16.58,0.34,0.44,3.62,4.4,163.4,37.14,2.71,1.86,1.46,0.83,12.96,113.6,73.37,24.47,1.03,1.13,75.73,20.95,2.33,0.99,45,2080,32,1503,72.3,405,109,107,13,10,43,40,85,10
3,2704,F2,m,37.1,15.5,21.6,0.72,21.82,15.86,0.67,0.4,3.48,7.9,163,20.63,2.63,2.18,1.21,1.26,22.57,115.2,74.98,23.05,0.9,1.07,75.75,20.65,2.47,1.13,43,1675,26,1175,70.1,368,82,80,7,9,30,49,57,8
4,2706,F2,m,35.3,13.7,21.6,0.63,15.76,14.32,0.74,0.39,3.32,4.9,169.4,34.57,2.13,1.67,1.28,0.94,16.64,116.9,72.91,25.13,0.83,1.13,74.91,21.38,2.74,0.97,42,1895,29,1345,71,367,100,92,8,11,40,37,72,12
5,2712,F2,m,34,14.4,19.6,0.73,18.18,16.74,0.38,0.4,3.73,4.9,192.9,39.37,2.28,1.88,1.21,0.96,19.95,117.6,74.81,22.93,1.08,1.18,74.91,21.23,2.78,1.08,37,2290,36,1745,76.2,505,152,83,13,14,50,47,81,15
6,2713,F2,m,35.2,14.7,20.5,0.72,16.97,14.05,0.44,0.44,3.8,4.9,194.2,39.63,3.02,2.28,1.32,1.18,16.13,115.6,74.15,23.64,1.08,1.13,74.4,20.4,4.15,1.05,38,2245,35,1545,68.8,478,130,91,8,11,39,49,81,13
7,2715,F2,m,38.9,15.6,23.3,0.67,19.4,15.41,0.36,0.29,4.91,9,396.3,44.03,2.54,1.93,1.32,0.98,17.98,122,73.14,24.81,0.84,1.21,73.94,21.06,3.85,1.15,37,2110,33,1270,60.2,444,114,98,11,11,44,38,75,12
8,2716,F2,m,34.7,15.1,19.6,0.77,16.97,15.74,0.51,0.43,3.97,6,206.1,34.35,2.53,1.85,1.37,1.01,16.13,119.3,73.3,24.68,0.75,1.27,74.46,22.37,1.97,1.2,39,2510,39,1880,74.9,572,73,134,7,10,50,56,87,13
9,2718,F2,m,31.4,13.4,18,0.74,27.55,15.58,1.02,0.48,2.98,5.5,177.6,32.29,2.88,1.88,1.53,1.08,21.85,116.5,74.73,23.34,0.85,1.08,75.54,20.62,2.84,1,44,1860,29,1260,67.7,415,106,90,14,11,38,42,113,13
10,2724,F2,m,31.8,12.5,19.3,0.65,30.73,15.76,0.63,0.41,3.63,8.1,183.8,22.69,2.99,2.17,1.38,0.87,21.96,117.7,74.92,22.92,1.04,1.12,73.82,21.06,4.04,1.08,42,1425,22,1060,74.4,316,70,62,9,8,31,37,84,9
11,2725,F2,m,32.6,12.3,20.3,0.61,25.43,16.7,0.68,0.29,3.14,4.7,169.7,36.11,2.73,1.96,1.39,1,25.9,115.4,73.59,24.32,0.91,1.18,74.4,21.76,2.73,1.11,44,2180,34,1524,69.9,439,131,95,8,11,52,32,139,12
